Flags,ID,Product,Generic,Is RADARs,RADARS,RADARS version,Year/Month,Submitted Date,Date,Price,mg Strength,$/mg,Dose,Dose unit,Formulation,City,State,Country,Rating,Source,Submitted by,Client Device,Bulk Purchase,Lat,Lon,Submitted Time,No Time Zone
,131438,Adderall,amphetamines,1,1201,25,201602,40941,40941,12,20,0.6,20mg,mg,pill/tablet,Amesbury,Massachusetts,USA,2,Heard it,,iphone,1,42.8584,-70.9301,13:02:54 EST,0
,131401,Adderall XR,amphetamines,1,1211,25,201602,40941,40941,7,30,0.233,30mg,mg,pill/tablet,Ann Arbor,Michigan,USA,,Personal,,other/desktop,1,42.2776,-83.7409,10:02:09 EST,0
,131609,Adderall,amphetamines,1,1201,25,201602,40941,40941,2,10,0.2,10mg,mg,pill/tablet,Ann Arbor,Michigan,USA,1,Personal,,other/desktop,1,42.2776,-83.7409,23:02:40 EST,0
,130930,Adderall,amphetamines,1,1201,25,201602,40939,40939,5,10,0.5,10mg,mg,pill/tablet,Astoria,New York,USA,3,,,iphone,0,40.7721,-73.9301,13:02:01 EST,0
,131443,Adderall (generic),amphetamines,1,1203,25,201602,40941,40941,8,20,0.4,20mg,mg,pill/tablet,Atlanta,Georgia,USA,,Internet,,iphone,1,33.749,-84.388,13:02:28 EST,0
,131447,Adderall (generic),amphetamines,1,1203,25,201602,40941,40941,2.78,10,0.278,10mg,mg,pill/tablet,Atlanta,Georgia,USA,,Internet Pharmacy,,iphone,0,33.749,-84.388,13:02:27 EST,0
,131572,Adderall (generic),amphetamines,1,1203,25,201602,40941,40941,5,10,0.5,10mg,mg,pill/tablet,Austin,Texas,USA,4,Personal,,other/desktop,0,30.2672,-97.7431,21:02:53 EST,0
,130968,Adderall XR,amphetamines,1,1211,25,201602,40939,40939,10,20,0.5,20mg,mg,pill/tablet,Bakersfield,California,USA,,Personal,,iphone,1,35.3733,-119.0187,17:02:41 EST,0
,130978,Adderall,amphetamines,1,1201,25,201602,40939,40939,5,15,0.333,15mg,mg,pill/tablet,Baton Rouge,Louisiana,USA,,Personal,,iphone,0,30.4508,-91.1546,18:02:37 EST,0
,131512,Adderall,amphetamines,1,1201,25,201602,40941,40941,10,10,1,10mg,mg,pill/tablet,Bozeman,Montana,USA,3,Personal,,iphone,0,45.6797,-111.0386,17:02:57 EST,0
,130873,Adderall (generic),amphetamines,1,1203,25,201602,40939,40939,4,5,0.8,5mg,mg,pill/tablet,Bridgeport,Connecticut,USA,4,Heard it,,other/desktop,0,41.167,-73.2048,07:02:18 EST,0
,130876,Adderall,amphetamines,1,1201,25,201602,40939,40939,10,5,2,5mg,mg,pill/tablet,Bronx,New York,USA,2,,,iphone,0,40.835,-73.8769,08:02:45 EST,0
,130878,Adderall,amphetamines,1,1201,25,201602,40939,40939,2.5,20,0.125,20mg,mg,pill/tablet,Buffalo,New York,USA,,,,iphone,0,42.8865,-78.8784,09:02:13 EST,0
,131119,Adderall,amphetamines,1,1201,25,201602,40940,40940,5,30,0.167,30mg,mg,pill/tablet,Buffalo New York,New York,USA,,Personal,,iphone,0,42.8865,-78.8784,09:02:41 EST,0
,131316,Adderall,amphetamines,1,1201,25,201602,40940,40940,4,10,0.4,10mg,mg,pill/tablet,Centralia,Washington,USA,1,Personal,,iphone,1,46.7162,-122.9543,22:02:19 EST,0
,131318,Adderall,amphetamines,1,1201,25,201602,40940,40940,4,10,0.4,10mg,mg,pill/tablet,Centralia,Washington,USA,1,Personal,,iphone,1,46.7162,-122.9543,22:02:51 EST,0
,131319,Adderall,amphetamines,1,1201,25,201602,40940,40940,4,10,0.4,10mg,mg,pill/tablet,Centralia,Washington,USA,1,Personal,,iphone,1,46.7162,-122.9543,22:02:50 EST,0
,131434,Adderall XR (generic),amphetamines,1,1219,25,201602,40941,40941,3,10,0.3,10mg,mg,pill/tablet,Chandler,Arizona,USA,,Personal,,iphone,1,33.3062,-111.8413,13:02:44 EST,0
,131379,Adderall,amphetamines,1,1201,25,201602,40941,40941,15,30,0.5,30mg,mg,pill/tablet,Chicago,Illinois,USA,5,Personal,,other/desktop,0,41.85,-87.6501,07:02:30 EST,0
,131381,Adderall,amphetamines,1,1201,25,201602,40941,40941,15,20,0.75,20mg,mg,pill/tablet,Chicago,Illinois,USA,5,Heard it,,other/desktop,0,41.85,-87.6501,07:02:58 EST,0
,131056,Adderall,amphetamines,1,1201,25,201602,40939,40939,2,10,0.2,10mg,mg,pill/tablet,College Station,Texas,USA,,Personal,,iphone,0,30.628,-96.3344,23:02:04 EST,0
